82.0627 	EXP 	text: autoDraw = False
82.0627 	EXP 	text: height = 0.05
82.0627 	EXP 	text: height = 0.05
82.0627 	EXP 	text: height = 0.05
82.0627 	EXP 	text: text = 'GBP 67 today or GBP 75 after 119 days'
82.0627 	EXP 	fixation: autoDraw = True
83.0632 	EXP 	fixation: autoDraw = False
83.0632 	EXP 	text: autoDraw = True
84.7329 	EXP 	New trial (rep=2, index=2): {'reward_today': 49, 'future_reward': 60, 'delay': 89}
84.7484 	EXP 	fixation: autoDraw = False
84.7484 	EXP 	text: autoDraw = False
84.7484 	EXP 	text: height = 0.05
84.7484 	EXP 	text: height = 0.05
84.7484 	EXP 	text: height = 0.05
84.7484 	EXP 	text: text = 'GBP 49 today or GBP 60 after 89 days'
84.7484 	EXP 	fixation: autoDraw = True
85.7464 	EXP 	text: autoDraw = True
85.7631 	EXP 	fixation: autoDraw = False
87.5990 	EXP 	New trial (rep=2, index=3): {'reward_today': 15, 'future_reward': 35, 'delay': 13}
87.6126 	EXP 	fixation: autoDraw = False
87.6126 	EXP 	text: autoDraw = False
87.6126 	EXP 	text: height = 0.05
87.6126 	EXP 	text: height = 0.05
87.6126 	EXP 	text: height = 0.05
87.6126 	EXP 	text: text = 'GBP 15 today or GBP 35 after 13 days'
87.6126 	EXP 	fixation: autoDraw = True
88.6132 	EXP 	fixation: autoDraw = False
88.6132 	EXP 	text: autoDraw = True
89.9500 	EXP 	New trial (rep=2, index=4): {'reward_today': 40, 'future_reward': 55, 'delay': 62}
89.9677 	EXP 	fixation: autoDraw = False
89.9677 	EXP 	text: autoDraw = False
89.9677 	EXP 	text: height = 0.05
89.9677 	EXP 	text: height = 0.05
89.9677 	EXP 	text: height = 0.05
89.9677 	EXP 	text: text = 'GBP 40 today or GBP 55 after 62 days'
89.9677 	EXP 	fixation: autoDraw = True
90.9629 	EXP 	text: autoDraw = True
90.9796 	EXP 	fixation: autoDraw = False
92.3664 	EXP 	New trial (rep=2, index=5): {'reward_today': 78, 'future_reward': 80, 'delay': 162}
92.3830 	EXP 	fixation: autoDraw = False
92.3830 	EXP 	text: autoDraw = False
92.3830 	EXP 	text: height = 0.05
92.3830 	EXP 	text: height = 0.05
92.3830 	EXP 	text: height = 0.05
92.3830 	EXP 	text: text = 'GBP 78 today or GBP 80 after 162 days'
92.3830 	EXP 	fixation: autoDraw = True
93.3798 	EXP 	text: autoDraw = True
93.3966 	EXP 	fixation: autoDraw = False
95.1157 	EXP 	New trial (rep=2, index=6): {'reward_today': 27, 'future_reward': 50, 'delay': 21}
95.1293 	EXP 	fixation: autoDraw = False
95.1293 	EXP 	text: autoDraw = False
95.1293 	EXP 	text: height = 0.05
95.1293 	EXP 	text: height = 0.05
95.1293 	EXP 	text: height = 0.05
95.1293 	EXP 	text: text = 'GBP 27 today or GBP 50 after 21 days'
95.1293 	EXP 	fixation: autoDraw = True
96.1297 	EXP 	fixation: autoDraw = False
96.1297 	EXP 	text: autoDraw = True
99.4679 	EXP 	New trial (rep=3, index=0): {'reward_today': 15, 'future_reward': 35, 'delay': 13}
99.4810 	EXP 	fixation: autoDraw = False
99.4810 	EXP 	text: autoDraw = False
99.4810 	EXP 	text: height = 0.05
99.4810 	EXP 	text: height = 0.05
99.4810 	EXP 	text: height = 0.05
99.4810 	EXP 	text: text = 'GBP 15 today or GBP 35 after 13 days'
99.4810 	EXP 	fixation: autoDraw = True
100.4797 	EXP 	text: autoDraw = True
100.4963 	EXP 	fixation: autoDraw = False
103.0657 	EXP 	New trial (rep=3, index=1): {'reward_today': 78, 'future_reward': 80, 'delay': 162}
103.1670 	EXP 	fixation: autoDraw = False
103.1670 	EXP 	text: autoDraw = False
103.1670 	EXP 	text: height = 0.05
103.1670 	EXP 	text: height = 0.05
103.1670 	EXP 	text: height = 0.05
103.1670 	EXP 	text: text = 'GBP 78 today or GBP 80 after 162 days'
103.1670 	EXP 	fixation: autoDraw = True
104.0799 	EXP 	text: autoDraw = True
104.1795 	EXP 	fixation: autoDraw = False
106.7667 	EXP 	New trial (rep=3, index=2): {'reward_today': 49, 'future_reward': 60, 'delay': 89}
106.7831 	EXP 	fixation: autoDraw = False
106.7831 	EXP 	text: autoDraw = False
106.7831 	EXP 	text: height = 0.05
106.7831 	EXP 	text: height = 0.05
106.7831 	EXP 	text: height = 0.05
106.7831 	EXP 	text: text = 'GBP 49 today or GBP 60 after 89 days'
106.7831 	EXP 	fixation: autoDraw = True
107.7795 	EXP 	text: autoDraw = True
107.7964 	EXP 	fixation: autoDraw = False
109.8846 	EXP 	New trial (rep=3, index=3): {'reward_today': 27, 'future_reward': 50, 'delay': 21}
109.8978 	EXP 	fixation: autoDraw = False
109.8978 	EXP 	text: autoDraw = False
109.8978 	EXP 	text: height = 0.05
109.8978 	EXP 	text: height = 0.05
109.8978 	EXP 	text: height = 0.05
109.8978 	EXP 	text: text = 'GBP 27 today or GBP 50 after 21 days'
109.8978 	EXP 	fixation: autoDraw = True
110.8963 	EXP 	text: autoDraw = True
110.9129 	EXP 	fixation: autoDraw = False
113.7509 	EXP 	New trial (rep=3, index=4): {'reward_today': 40, 'future_reward': 55, 'delay': 62}
113.7651 	EXP 	fixation: autoDraw = False
113.7651 	EXP 	text: autoDraw = False
113.7651 	EXP 	text: height = 0.05
113.7651 	EXP 	text: height = 0.05
113.7651 	EXP 	text: height = 0.05
113.7651 	EXP 	text: text = 'GBP 40 today or GBP 55 after 62 days'
113.7651 	EXP 	fixation: autoDraw = True
114.7630 	EXP 	text: autoDraw = True
114.7798 	EXP 	fixation: autoDraw = False
118.8668 	EXP 	New trial (rep=3, index=5): {'reward_today': 11, 'future_reward': 30, 'delay': 7}
118.8822 	EXP 	fixation: autoDraw = False
118.8822 	EXP 	text: autoDraw = False
118.8822 	EXP 	text: height = 0.05
118.8822 	EXP 	text: height = 0.05
118.8822 	EXP 	text: height = 0.05
118.8822 	EXP 	text: text = 'GBP 11 today or GBP 30 after 7 days'
118.8822 	EXP 	fixation: autoDraw = True
119.8793 	EXP 	text: autoDraw = True
119.8959 	EXP 	fixation: autoDraw = False
124.5839 	EXP 	New trial (rep=3, index=6): {'reward_today': 67, 'future_reward': 75, 'delay': 119}
124.5977 	EXP 	fixation: autoDraw = False
124.5977 	EXP 	text: autoDraw = False
124.5977 	EXP 	text: height = 0.05
124.5977 	EXP 	text: height = 0.05
124.5977 	EXP 	text: height = 0.05
124.5977 	EXP 	text: text = 'GBP 67 today or GBP 75 after 119 days'
124.5977 	EXP 	fixation: autoDraw = True
125.5961 	EXP 	text: autoDraw = True
125.6127 	EXP 	fixation: autoDraw = False
131.4983 	EXP 	New trial (rep=4, index=0): {'reward_today': 27, 'future_reward': 50, 'delay': 21}
131.5122 	EXP 	fixation: autoDraw = False
131.5122 	EXP 	text: autoDraw = False
131.5122 	EXP 	text: height = 0.05
131.5122 	EXP 	text: height = 0.05
131.5122 	EXP 	text: height = 0.05
131.5122 	EXP 	text: text = 'GBP 27 today or GBP 50 after 21 days'
131.5122 	EXP 	fixation: autoDraw = True
132.5126 	EXP 	fixation: autoDraw = False
132.5126 	EXP 	text: autoDraw = True
135.8174 	EXP 	New trial (rep=4, index=1): {'reward_today': 15, 'future_reward': 35, 'delay': 13}
135.8352 	EXP 	fixation: autoDraw = False
135.8352 	EXP 	text: autoDraw = False
135.8352 	EXP 	text: height = 0.05
135.8352 	EXP 	text: height = 0.05
135.8352 	EXP 	text: height = 0.05
135.8352 	EXP 	text: text = 'GBP 15 today or GBP 35 after 13 days'
135.8352 	EXP 	fixation: autoDraw = True
136.8293 	EXP 	text: autoDraw = True
136.8458 	EXP 	fixation: autoDraw = False
138.3998 	EXP 	New trial (rep=4, index=2): {'reward_today': 67, 'future_reward': 75, 'delay': 119}
138.4142 	EXP 	fixation: autoDraw = False
138.4142 	EXP 	text: autoDraw = False
138.4142 	EXP 	text: height = 0.05
138.4142 	EXP 	text: height = 0.05
138.4142 	EXP 	text: height = 0.05
138.4142 	EXP 	text: text = 'GBP 67 today or GBP 75 after 119 days'
138.4142 	EXP 	fixation: autoDraw = True
139.4126 	EXP 	text: autoDraw = True
139.4291 	EXP 	fixation: autoDraw = False
141.4675 	EXP 	New trial (rep=4, index=3): {'reward_today': 78, 'future_reward': 80, 'delay': 162}
141.4815 	EXP 	fixation: autoDraw = False
141.4815 	EXP 	text: autoDraw = False
141.4815 	EXP 	text: height = 0.05
141.4815 	EXP 	text: height = 0.05
141.4815 	EXP 	text: height = 0.05
141.4815 	EXP 	text: text = 'GBP 78 today or GBP 80 after 162 days'
141.4815 	EXP 	fixation: autoDraw = True
142.4792 	EXP 	text: autoDraw = True
142.4959 	EXP 	fixation: autoDraw = False
144.5644 	EXP 	New trial (rep=4, index=4): {'reward_today': 40, 'future_reward': 55, 'delay': 62}
144.5787 	EXP 	fixation: autoDraw = False
144.5787 	EXP 	text: autoDraw = False
144.5787 	EXP 	text: height = 0.05
144.5787 	EXP 	text: height = 0.05
144.5787 	EXP 	text: height = 0.05
144.5787 	EXP 	text: text = 'GBP 40 today or GBP 55 after 62 days'
144.5787 	EXP 	fixation: autoDraw = True
145.5795 	EXP 	fixation: autoDraw = False
145.5795 	EXP 	text: autoDraw = True
148.7688 	EXP 	New trial (rep=4, index=5): {'reward_today': 11, 'future_reward': 30, 'delay': 7}
148.7897 	EXP 	fixation: autoDraw = False
148.7897 	EXP 	text: autoDraw = False
148.7897 	EXP 	text: height = 0.05
148.7897 	EXP 	text: height = 0.05
148.7897 	EXP 	text: height = 0.05
148.7897 	EXP 	text: text = 'GBP 11 today or GBP 30 after 7 days'
148.7897 	EXP 	fixation: autoDraw = True
149.7793 	EXP 	text: autoDraw = True
149.7957 	EXP 	fixation: autoDraw = False
151.5502 	EXP 	New trial (rep=4, index=6): {'reward_today': 49, 'future_reward': 60, 'delay': 89}
151.5646 	EXP 	fixation: autoDraw = False
151.5646 	EXP 	text: autoDraw = False
151.5646 	EXP 	text: height = 0.05
151.5646 	EXP 	text: height = 0.05
151.5646 	EXP 	text: height = 0.05
151.5646 	EXP 	text: text = 'GBP 49 today or GBP 60 after 89 days'
151.5646 	EXP 	fixation: autoDraw = True
152.5624 	EXP 	text: autoDraw = True
152.5790 	EXP 	fixation: autoDraw = False
156.7955 	EXP 	fixation: autoDraw = False
156.7955 	EXP 	text: autoDraw = False
156.7958 	EXP 	untitled2: status = STOPPED
156.9854 	EXP 	window1: mouseVisible = True
