staircase.thisTrialN,staircase.stepSize,staircase.intensity,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
22,0.5,8.0,362.9995241999859,363.49994759995025,363.49994759995025,363.49994759995025,363.79975060001016,right,8.0,1,1,0.582431299961172,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
23,0.5,8.0,364.0992748000426,364.59918240003753,364.59918240003753,364.59918240003753,364.89933699998073,left,-8.0,1,1,0.9083988999482244,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
24,0.5,8.0,365.5326501999516,366.03292489994783,366.03292489994783,366.03292489994783,366.3328471999848,left,-8.0,1,1,0.8489587999647483,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
25,0.5,7.5,366.8993143000407,367.3825948999729,367.3825948999729,367.3825948999729,367.6825526000466,right,7.5,1,1,0.6362358999904245,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
26,0.5,7.5,368.0497697000392,368.5331923000049,368.5331923000049,368.5331923000049,368.8327790000476,right,7.5,1,1,1.0623731000814587,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
27,0.5,7.5,369.6162171999458,370.1161793000065,370.1161793000065,370.1161793000065,370.41594430000987,left,-7.5,1,1,0.5492200999287888,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
28,0.5,7.0,370.6826193999732,371.18301479995716,371.18301479995716,371.18301479995716,371.4827188999625,left,-7.0,1,1,0.5303272999590263,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
29,0.5,7.0,371.73265919997357,372.232546400046,372.232546400046,372.232546400046,372.5321169999661,left,-7.0,1,1,0.5248401999706402,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
30,0.5,7.0,372.782526499941,373.26589289994445,373.26589289994445,373.26589289994445,373.5656452999683,right,7.0,0,0,3.7255233000032604,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
31,0.5,7.5,377.01593839994166,377.5156294000335,377.5156294000335,377.5156294000335,377.8156539000338,left,-7.5,1,1,0.6132324999198318,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
